dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders
01 January 2022,1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0,casual,5
01 January 2022,1,1,1,1,0,0,0,1,0.36,0.3485,0.66,0.1343,casual,15
01 January 2022,1,1,1,2,0,0,0,1,0.32,0.3485,0.76,0,casual,16
01 January 2022,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,casual,11
01 January 2022,1,1,1,4,0,0,0,1,0.28,0.303,0.81,0.0896,casual,0
01 January 2022,1,1,1,5,0,0,0,1,0.28,0.2879,0.81,0.1045,casual,0
01 January 2022,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,casual,1
01 January 2022,1,1,1,7,0,0,0,1,0.26,0.2576,0.93,0.1642,casual,1
01 January 2022,1,1,1,8,0,0,0,1,0.26,0.2727,0.87,0.1045,casual,4
01 January 2022,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,casual,13
01 January 2022,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,casual,18
01 January 2022,1,1,1,11,0,0,0,1,0.34,0.3333,0.76,0.1343,casual,40
01 January 2022,1,1,1,12,0,0,0,1,0.4,0.4091,0.62,0.2836,casual,58
01 January 2022,1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,casual,82
01 January 2022,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,casual,120
01 January 2022,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,casual,101
01 January 2022,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,casual,68
01 January 2022,1,1,1,17,0,0,0,2,0.48,0.4697,0.48,0.1642,casual,36
01 January 2022,1,1,1,18,0,0,0,3,0.46,0.4545,0.59,0.2537,casual,25
01 January 2022,1,1,1,19,0,0,0,3,0.42,0.4242,0.67,0.3881,casual,20
01 January 2022,1,1,1,20,0,0,0,2,0.44,0.4394,0.62,0.2985,casual,25
01 January 2022,1,1,1,21,0,0,0,2,0.44,0.4394,0.67,0.2537,casual,10
01 January 2022,1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,casual,13
01 January 2022,1,1,1,23,0,0,0,1,0.44,0.4394,0.51,0.2985,casual,4
02 January 2022,1,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,casual,8
02 January 2022,1,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,casual,1
02 January 2022,1,1,1,2,1,1,0,1,0.36,0.3182,0.34,0.4478,casual,1
02 January 2022,1,1,1,4,1,1,0,1,0.28,0.2576,0.45,0.3284,casual,0
02 January 2022,1,1,1,5,1,1,0,1,0.28,0.2576,0.45,0.3284,casual,1
02 January 2022,1,1,1,6,1,1,0,1,0.26,0.2273,0.41,0.3881,casual,0
02 January 2022,1,1,1,7,1,1,0,1,0.24,0.2121,0.32,0.3881,casual,0
02 January 2022,1,1,1,8,1,1,0,1,0.24,0.2273,0.35,0.2537,casual,2
02 January 2022,1,1,1,9,1,1,0,1,0.24,0.2576,0.35,0,casual,15
02 January 2022,1,1,1,10,1,1,0,1,0.26,0.2424,0.35,0.2836,casual,20
02 January 2022,1,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,casual,33
02 January 2022,1,1,1,12,1,1,0,1,0.28,0.2727,0.36,0.2537,casual,41
02 January 2022,1,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985,casual,26
02 January 2022,1,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179,casual,10
02 January 2022,1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,casual,29
02 January 2022,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,casual,10
02 January 2022,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,casual,17
02 January 2022,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,casual,13
02 January 2022,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,casual,4
02 January 2022,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,casual,5
02 January 2022,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,casual,3
02 January 2022,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,casual,3
02 January 2022,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,casual,2
03 January 2022,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,casual,0
03 January 2022,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239,casual,1
03 January 2022,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,casual,0
03 January 2022,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,casual,0
03 January 2022,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537,casual,0
03 January 2022,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194,casual,0
03 January 2022,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836,casual,4
03 January 2022,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,casual,2
03 January 2022,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836,casual,5
03 January 2022,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,casual,8
03 January 2022,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627,casual,5
03 January 2022,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,casual,12
03 January 2022,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,casual,4
03 January 2022,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,casual,5
03 January 2022,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,casual,7
03 January 2022,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,casual,9
03 January 2022,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,casual,7
03 January 2022,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,casual,4
03 January 2022,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,casual,10
03 January 2022,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,casual,4
03 January 2022,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537,casual,0
03 January 2022,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,casual,2
03 January 2022,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537,casual,0
03 January 2022,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,casual,0
04 January 2022,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284,casual,0
04 January 2022,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,casual,0
04 January 2022,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,casual,0
04 January 2022,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836,casual,0
04 January 2022,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194,casual,0
04 January 2022,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,casual,0
04 January 2022,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642,casual,0
04 January 2022,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194,casual,1
04 January 2022,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343,casual,5
04 January 2022,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,casual,7
04 January 2022,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0,casual,7
04 January 2022,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896,casual,6
04 January 2022,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,casual,9
04 January 2022,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,casual,9
04 January 2022,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537,casual,6
04 January 2022,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,casual,9
04 January 2022,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836,casual,8
04 January 2022,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194,casual,9
04 January 2022,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343,casual,9
04 January 2022,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,casual,2
04 January 2022,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194,casual,2
04 January 2022,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0,casual,2
04 January 2022,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896,casual,4
04 January 2022,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,casual,0
05 January 2022,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194,casual,1
05 January 2022,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896,casual,0
05 January 2022,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896,casual,0
05 January 2022,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0,casual,0
05 January 2022,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896,casual,0
